Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Power_Windows,Power_Seats,Power,Torque,Odometer,Speedometer,Tachometer,Seating_Capacity,Seats_Material,Front_Track,Rear_Track,Wheels_Size,Kerb_Weight,Gross_Vehicle_Weight,Type,Start_/_Stop_Button,12v_Power_Outlet,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty_Years,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range,Basic_Warranty_Distance
Tata,Nano Genx,Xt,292667,624,2,2,RWD,4,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,4,180,Drum,Drum,Only Front Windows,None,38PS,51Nm,Digital,Analog,None,4,Fabric,1325 mm,1315 mm,4 B X 12,660 kg,,Manual,Yes,Yes,Yes,Yes,2,Yes,Internal,110 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,No,No,No,No,No,No,No,Normal,No,No,No,No,No,No,No,No,No,None,No,No,No,No,0,None,No,No,No,No,No,None,None,No,No,None,No,No,No,None,No,No,No,None,No,No,No,No,No,No,No,No,,No,No,,,75000
Tata,Nano Genx,Xe,236447,624,2,2,RWD,4,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,4,180,Drum,Drum,None,None,38PS,51Nm,Digital,Analog,None,4,Fabric,1325 mm,1315 mm,4 B X 12,725 kg,,Manual,No,Yes,No,Yes,2,No,Internal,110 litres,No,No,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),No,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,No,No,No,No,No,No,No,Normal,No,No,No,No,No,No,No,No,No,None,No,No,No,No,0,None,No,No,No,No,No,None,None,No,No,None,No,No,No,None,No,No,No,None,No,No,No,No,No,No,No,No,,No,No,,,75000
Tata,Nano Genx,Emax Xm,296661,624,2,2,RWD,4,"Rear, Transverse",Injection,15,CNG,1652,3164,1750,Hatchback,4,36,4,180,Drum,Drum,None,None,38PS,51Nm,Digital,Analog,None,4,Fabric,1325 mm,1315 mm,4 B X 12,710 kg,,Manual,No,Yes,No,Yes,2,No,Internal,110 litres,No,No,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),No,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,No,Yes,Yes,No,No,No,No,Normal,No,No,No,No,No,No,No,No,No,None,No,No,No,No,0,None,No,No,No,No,No,None,None,No,No,None,No,No,No,None,No,No,No,None,No,No,No,No,No,No,No,No,,No,No,,,75000
Tata,Nano Genx,Xta,334768,624,2,2,RWD,4,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,5,180,Drum,Drum,Only Front Windows,None,38PS,51Nm,Digital,Analog,None,4,Fabric,1325 mm,1315 mm,4 B X 12,725 kg,,Automatic,Yes,Yes,Yes,Yes,2,Yes,Internal,94 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,No,No,No,Yes,No,No,No,Normal,No,No,No,No,No,No,No,No,No,None,No,No,No,No,0,None,No,No,No,No,No,None,None,No,No,None,No,No,No,None,No,No,No,None,No,No,No,No,No,No,No,No,,No,No,,,75000
Tata,Nano Genx,Xm,272223,624,2,2,RWD,4,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,4,180,Drum,Drum,None,None,38PS,51Nm,Digital,Analog,None,4,Fabric,1325 mm,1315 mm,4 B X 12,725 kg,,Manual,No,Yes,No,Yes,2,No,Internal,110 litres,No,No,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),No,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,No,No,No,No,No,No,No,Normal,No,No,No,No,No,No,No,No,No,None,No,No,No,No,0,None,No,No,No,No,No,None,None,No,No,None,No,No,No,None,No,No,No,None,No,No,No,No,No,No,No,No,,No,No,,,75000
Tata,Nano Genx,Xma,314815,624,2,2,RWD,4,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,5,180,Drum,Drum,None,None,38PS,51Nm,Digital,Analog,None,4,Fabric,1325 mm,1315 mm,4 B X 12,710 kg,,Automatic,No,Yes,No,Yes,2,No,Internal,94 litres,No,No,Yes,Digital,Not on offer,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),No,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,No,No,No,Yes,No,No,No,Normal,No,No,No,No,No,No,No,No,No,None,Yes,No,No,No,0,None,No,No,No,No,No,None,None,No,No,None,No,No,No,None,No,No,No,None,No,No,No,No,No,No,No,No,,No,No,,,75000
Datsun,Redi-Go,D,279650,799,3,4,FWD,4,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,5,185,Ventilated Disc,Drum,None,None,54PS,72Nm,Digital,Analog,Digital,5,Fabric,,,80/155R13,,,Manual,No,Yes,No,Yes,2,No,Internal,222 litres,No,No,Yes,,Not on offer,Yes,None,Yes,2 Years/Unlimited Kms (Whichever comes earlier),No,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,No,No,No,No,No,No,No,Normal,Yes,No,No,No,No,No,No,Yes,No,None,No,No,No,No,0,None,No,No,No,No,No,None,None,No,No,None,No,No,No,None,No,No,No,None,No,No,No,No,No,No,No,No,,No,No,,,0
Datsun,Redi-Go,T,351832,799,3,4,FWD,4,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,5,185,Ventilated Disc,Drum,Only Front Windows,None,54PS,72Nm,Digital,Analog,Digital,5,Fabric,,,80/155R13,725 kg,,Manual,No,Yes,Yes,Yes,2,No,Internal,222 litres,Yes,Yes,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,No,No,No,No,No,No,No,Normal,Yes,No,No,No,No,No,No,No,Yes,None,No,No,No,No,0,None,No,Yes,No,No,No,None,None,No,No,None,No,No,No,None,No,No,No,None,No,No,No,No,No,No,No,No,,No,No,,,0
Datsun,Redi-Go,A,333419,799,3,4,FWD,4,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,5,185,Ventilated Disc,Drum,None,None,54PS,72Nm,Digital,Analog,Digital,5,Fabric,,,80/155R13,725 kg,,Manual,No,Yes,No,Yes,2,No,Internal,222 litres,No,No,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),No,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,No,No,No,No,No,No,No,Normal,Yes,No,No,No,No,No,No,No,Yes,None,No,No,No,No,0,None,No,No,No,No,No,None,None,No,No,None,No,No,No,None,No,No,No,None,No,No,No,No,No,No,No,No,,No,No,,,0
Datsun,Redi-Go,S,362000,799,3,4,FWD,4,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,5,185,Ventilated Disc,Drum,None,None,54PS,72Nm,Digital,Analog,Digital,5,Fabric,,,80/155R13,,,Manual,No,Yes,Yes,Yes,2,No,"With Remote, Internal",222 litres,Yes,No,Yes,,Not on offer,Yes,None,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,No,No,No,No,No,No,No,Normal,Yes,No,No,No,No,No,No,No,No,None,No,No,No,No,0,Rear sensors,No,No,No,No,No,None,None,No,No,None,No,No,No,None,No,No,No,None,No,No,No,No,No,No,No,No,,No,No,,,0
