trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
"""Honest""",Nico Collins,191772,,0.476,0.799,4,-4.939,0,0.212,0.0162,0,0.257,0.577,162.139,audio_features,191948,4
"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",London Symphony Orchestra,1806234,british orchestra,0.475,0.13,7,-17.719,1,0.051,0.916,0.956,0.101,0.122,112.241,audio_features,150827,4
#BrooklynBloodPop!,SyKo,145610,glitchcore,0.691,0.814,1,-3.788,0,0.117,0.0164,0,0.366,0.509,132.012,audio_features,145611,4
$10,Good Morning,25058,experimental pop,0.624,0.596,4,-9.804,1,0.0314,0.475,0.203,0.119,0.896,120.969,audio_features,89509,4
(I Just) Died In Your Arms,Cutting Crew,5504949,album rock,0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,audio_features,280400,4
(L)only Child,salem ilese,2237969,alt z,0.645,0.611,8,-5.925,0,0.137,0.29,2.05E-05,0.237,0.645,157.475,audio_features,144468,3
(lol),Eren Cannata,441335,guitar case,0.663,0.904,7,-4.71,1,0.0857,0.000708,0.289,0.341,0.675,118.024,audio_features,217627,4
-Interlude-,NF,70589,,,,,,,,,,,,,,0,
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,120005,cloud rap,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04E-05,0.14,0.111,113.983,audio_features,168490,4
...Baby One More Time,Britney Spears,107407,dance pop,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,audio_features,211067,4
0 to 100,Sidhu Moose Wala,21354,desi hip hop,0.742,0.675,8,-6.551,1,0.0907,0.139,0,0.167,0.679,145.989,audio_features,108493,4
01:22,colours in the dark,516640,lo-fi sleep,0.62,0.122,2,-19.47,0,0.0428,0.967,0.963,0.0726,0.0502,72.019,audio_features,129160,3
"10,000 Hours (with Justin Bieber)",Dan + Shay,339561,contemporary country,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,audio_features,167693,4
11:23,mj apanay,58017,bedroom r&b,0.611,0.256,8,-11.29,1,0.0733,0.899,0.00497,0.125,0.585,123.535,audio_features,58018,4
12 Hours,Chris James,2531305,singer-songwriter pop,0.83,0.414,3,-7.387,1,0.148,0.497,0,0.187,0.797,87.99,audio_features,133125,4
120,OQTAN,115125,,0.806,0.945,8,-1.382,1,0.0486,0.0243,0.837,0.267,0.341,119.992,audio_features,115125,4
12:45 - Stripped,Etham,795611,singer-songwriter pop,0.459,0.214,5,-10.66,1,0.0403,0.634,0,0.125,0.397,163.816,audio_features,179013,4
13 Missed Calls,Zach Hood,3248068,alt z,0.639,0.724,7,-6.346,1,0.0664,0.452,0,0.159,0.522,129.712,audio_features,209538,3
143,Josh Golden,3799565,la pop,0.652,0.713,6,-8.331,0,0.105,0.413,0.0048,0.265,0.692,156.031,audio_features,187885,4
17 (slowed + reverb),Shiloh Dynasty,280765,lo-fi chill,0.78,0.24,11,-12.996,1,0.0711,0.373,0.0141,0.452,0.171,140.502,audio_features,209493,4
18,Jeremy Zucker,150773,alt z,0.783,0.599,4,-5.688,1,0.0441,0.0445,0,0.108,0.611,113.97,audio_features,150773,4
1917,Thomas Newman,77341,orchestral soundtrack,0.0814,0.0155,7,-33.085,0,0.044,0.945,0.915,0.0923,0.0899,171.075,audio_features,77413,1
1984,glaive,458813,glitchcore,0.665,0.746,9,-2.98,1,0.044,0.0125,0,0.148,0.426,134.999,audio_features,150222,4
1985,Bo Burnham,96200,comic,0.646,0.724,4,-7.466,0,0.0475,0.0432,0,0.333,0.894,155.85,audio_features,146654,4
1992,Bruises,20907439,,0.579,0.851,5,-7.261,1,0.0278,0.00173,0.0533,0.219,0.372,120.01,audio_features,188000,4
1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Linkin Park,345993,alternative metal,0.471,0.927,1,-5.76,1,0.0495,0.00272,0.537,0.115,0.232,96.149,audio_features,346040,4
2:00 AM,Marco Luka,172603,,0.661,0.528,5,-9.347,0,0.0354,0.176,0.000107,0.092,0.137,150.004,audio_features,172800,4
2009,glaive,109827,glitchcore,0.473,0.849,5,-2.434,0,0.052,0.26,0,0.103,0.61,79.538,audio_features,110339,4
2019,Bazanji,23359,deep underground hip hop,0.596,0.881,11,-5.228,0,0.119,0.153,0,0.16,0.302,147.038,audio_features,112245,4
2021,Lauv,195952,pop,0.849,0.489,0,-7.433,1,0.0509,0.683,1.91E-05,0.108,0.345,113.977,audio_features,195952,4
2055,Sleepy Hallow,87571,brooklyn drill,0.829,0.512,6,-5.865,0,0.187,0.492,0,0.12,0.638,80.511,audio_features,123987,4
20s,Comfort Club,19957,,0.67,0.418,5,-7.74,1,0.0272,0.13,0,0.353,0.413,101.936,audio_features,175033,4
"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Johannes Brahms,271587,classical,0.32,0.127,7,-15.953,0,0.0366,0.929,0.813,0.25,0.272,144.451,audio_features,135773,3
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in F-Sharp Minor",Seattle Symphony Orchestra,173732,american orchestra,0.227,0.0666,7,-21.772,0,0.0403,0.831,0.392,0.083,0.256,82.568,audio_features,173853,4
"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,1851813,classical,0.358,0.167,7,-16,0,0.0354,0.899,0.96,0.103,0.601,144.561,audio_features,138707,4
22,Taylor Swift,595000,pop,0.642,0.695,7,-5.62,1,0.0281,0.000443,1.02E-05,0.0753,0.642,103.984,audio_features,230960,4
24,sundial,133897,,0.839,0.525,2,-4.873,1,0.131,0.0303,0,0.302,0.831,135.996,audio_features,133897,4
24 Hours,Alexander Stewart,1819808,singer-songwriter pop,0.512,0.748,10,-7.338,1,0.0376,0.0908,0,0.204,0.338,143.999,audio_features,198333,4
24-Jul,The Neighbourhood,219799,modern alternative rock,0.587,0.744,7,-4.611,0,0.0742,0.00213,0.00181,0.114,0.236,118.962,audio_features,219973,4
26,Lauv,828121,pop,0.643,0.458,6,-8.636,1,0.0875,0.809,0.00015,0.237,0.506,164.16,audio_features,159608,4
27,Loving Caliber,2858598,scandipop,0.612,0.362,0,-7.85,1,0.0307,0.686,0,0.111,0.459,140.043,audio_features,211361,4
27 Reasons,WILLIS,19479,alabama indie,0.522,0.624,11,-8.359,0,0.0323,0.157,0.00598,0.253,0.352,130.477,audio_features,208760,4
29,Chris James,138281,singer-songwriter pop,0.777,0.597,4,-5.125,1,0.0496,0.51,0,0.107,0.9,133.854,audio_features,138281,4
29,Run River North,36292,stomp and holler,0.439,0.903,7,-4.655,0,0.0692,0.000268,0,0.249,0.275,156.974,audio_features,207120,4
2AM,SZA,84920,pop,0.504,0.267,9,-13.678,0,0.406,0.438,0,0.141,0.392,83.966,audio_features,242823,4
2chijou,Hiroyuki Sawano,3941,anime score,0.479,0.476,5,-12.218,1,0.0511,0.134,0.424,0.094,0.274,120.099,audio_features,407573,4
2lovely,Griff Clawson,2149083,,0.544,0.342,0,-11.686,1,0.0321,0.818,0.0744,0.131,0.161,132.073,audio_features,184987,4
2much,Idkconundrum,1124698,,,,,,,,,,,,,,0,
2step,Ed Sheeran,4701620,pop,0.763,0.661,4,-5.592,0,0.056,0.169,0,0.117,0.632,95.002,audio_features,153627,4
2step (feat. Armaan Malik),Ed Sheeran,153124,pop,0.747,0.667,4,-5.181,0,0.0566,0.18,0,0.146,0.508,95,audio_features,153124,4
2step (feat. Lil Baby),Ed Sheeran,181369,pop,0.693,0.643,4,-5.867,0,0.0828,0.138,0,0.108,0.477,95.055,audio_features,163450,4
2z Don Corleon,Lil 2z,117942,dfw rap,0.847,0.444,8,-10.167,0,0.492,0.336,0,0.0996,0.667,115.042,audio_features,117943,4
3 Peg,Sharry Mann,781585,punjabi pop,0.69,0.926,0,-0.223,0,0.253,0.14,0,0.112,0.791,167.927,audio_features,204396,4
"3,000 Miles From Home.",Ben Zaidi,789074,folk-pop,0.713,0.418,2,-9.035,1,0.0519,0.5,0.000655,0.119,0.527,84.041,audio_features,158507,4
"30,000 Feet",Ben Rector,3158192,acoustic pop,0.555,0.452,0,-9.636,1,0.0554,0.694,0,0.0595,0.321,179.921,audio_features,256933,4
30/90,Andrew Garfield,2559478,,0.466,0.789,0,-5.956,1,0.0663,0.0146,0,0.0637,0.36,175.772,audio_features,262505,4
3005,Childish Gambino,167230,atl hip hop,0.664,0.447,6,-7.272,0,0.289,0.112,0,0.091,0.659,83.138,audio_features,234215,4
03:15,Bazzi,167018,pop,0.651,0.654,1,-5.481,1,0.0466,0.385,0,0.181,0.539,141.975,audio_features,167019,4
4am,girl in red,18702,alt z,0.418,0.392,9,-13.771,1,0.0383,0.663,0.335,0.204,0.295,168.902,audio_features,110862,4
4u,blackbear,356134,pop,0.776,0.513,5,-6.757,1,0.0872,0.392,0,0.0642,0.813,153.934,audio_features,158571,4
5 Taara,Diljit Dosanjh,7408,filmi,0.687,0.855,4,-2.837,0,0.109,0.13,0,0.311,0.659,167.947,audio_features,178421,4
5 dollars,Christine and the Queens,208293,art pop,0.726,0.654,2,-6.201,1,0.0423,0.424,0,0.0668,0.624,129.013,audio_features,208293,4
"52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style)",Arya Acharya,69198,,0.521,0.837,7,-4.501,1,0.0794,0.0593,1.28E-05,0.157,0.48,106.001,audio_features,4581483,4
52-Hearts,Hikaru Station,7876,japanese vgm,0.285,0.803,1,-6.128,1,0.158,0.714,1.07E-05,0.0495,0.182,95.806,audio_features,316800,4
5am in cairo,"oh, the joy.",531864,sleep,0.751,0.193,3,-15.902,1,0.0449,0.936,0.94,0.11,0.219,113.987,audio_features,177288,4
6 Underground,Sneaker Pimps,228840,electronica,0.587,0.687,1,-8.635,0,0.0509,0.0281,0.14,0.121,0.402,169.938,audio_features,228840,4
608,Carlie Hanson,2208366,alt z,0.614,0.511,11,-8.758,0,0.0294,0.673,0.00176,0.339,0.486,148.024,audio_features,204760,3
6AM,Fly By Midnight,189783,singer-songwriter pop,0.637,0.885,5,-4.522,1,0.0274,0.0318,0,0.107,0.613,127.027,audio_features,190912,4
7 Minutes,Dean Lewis,3049703,australian pop,0.613,0.739,10,-6.478,1,0.0311,0.526,0,0.149,0.712,104.966,audio_features,211453,4
