class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
p,15.26,x,g,o,f,e,w,16.95,17.09,w,t,g,d,w
p,16.6,x,g,o,f,e,w,17.99,18.19,w,t,g,d,u
p,14.07,x,g,o,f,e,w,17.8,17.74,w,t,g,d,w
p,14.17,f,h,e,f,e,w,15.77,15.98,w,t,p,d,w
p,14.64,x,h,o,f,e,w,16.53,17.2,w,t,p,d,w
p,15.34,x,g,o,f,e,w,17.84,18.79,w,t,p,d,u
p,14.85,f,h,o,f,e,w,17.71,16.89,w,t,g,d,w
p,14.86,x,h,e,f,e,w,17.03,17.44,w,t,p,d,u
p,12.85,f,g,o,f,e,w,17.27,18.69,w,t,p,d,a
p,13.55,f,g,e,f,e,w,16.04,16.88,w,t,p,d,w
p,14.17,f,h,e,f,e,w,17.86,18.02,w,t,p,d,a
p,13.4,x,h,o,f,e,w,17.95,17.14,w,t,p,d,u
p,17.37,x,h,o,f,e,w,18.1,18.27,w,t,g,d,u
p,16.56,x,h,o,f,e,w,18.89,18.11,w,t,p,d,u
p,15.37,x,h,e,f,e,w,18.19,18.38,w,t,g,d,a
p,15.54,f,h,e,f,e,w,18.26,17.87,w,t,p,d,a
p,15.19,x,g,e,f,e,w,17.42,17.67,w,t,p,d,a
p,17.4,x,h,o,f,e,w,18.48,18.54,w,t,p,d,a
p,16.16,x,g,o,f,e,w,19.46,18.9,w,t,p,d,w
p,16.93,x,h,e,f,e,w,18.31,17.81,w,t,p,d,u
p,13.0,f,g,e,f,e,w,17.3,17.19,w,t,g,d,w
p,13.06,x,g,e,f,e,w,16.9,17.38,w,t,g,d,u
p,17.23,x,h,o,f,e,w,17.63,17.92,w,t,g,d,w
p,14.39,x,g,e,f,e,w,16.98,17.48,w,t,p,d,w
p,15.56,f,g,o,f,e,w,17.28,16.99,w,t,p,d,u
p,13.2,x,g,o,f,e,w,16.91,16.9,w,t,p,d,w
p,13.9,f,h,e,f,e,w,17.81,17.77,w,t,g,d,u
p,16.38,f,g,o,f,e,w,18.36,17.99,w,t,p,d,u
p,13.3,x,h,e,f,e,w,17.6,17.52,w,t,p,d,a
p,15.95,f,g,o,f,e,w,16.42,16.65,w,t,g,d,w
p,16.58,x,g,o,f,e,w,18.26,18.12,w,t,g,d,a
p,14.1,f,g,o,f,e,w,16.94,16.76,w,t,p,d,u
p,13.81,f,h,o,f,e,w,17.22,17.11,w,t,g,d,a
p,14.67,f,h,o,f,e,w,17.2,16.77,w,t,p,d,a
p,14.23,f,h,e,f,e,w,17.22,17.23,w,t,p,d,u
p,14.78,f,g,e,f,e,w,17.44,17.13,w,t,p,d,u
p,15.08,x,g,e,f,e,w,17.09,17.8,w,t,g,d,w
p,16.0,x,g,e,f,e,w,16.96,17.22,w,t,g,d,u
p,14.76,f,g,o,f,e,w,18.14,17.54,w,t,p,d,a
p,14.89,x,g,e,f,e,w,17.78,18.07,w,t,g,d,w
p,13.05,f,g,e,f,e,w,17.32,17.17,w,t,p,d,w
p,13.03,f,h,e,f,e,w,17.05,17.07,w,t,p,d,w
p,14.07,f,g,o,f,e,w,16.98,17.76,w,t,p,d,w
p,15.09,f,g,o,f,e,w,17.45,18.15,w,t,g,d,a
p,12.22,f,h,o,f,e,w,18.19,17.62,w,t,g,d,w
p,15.12,x,g,e,f,e,w,17.03,17.2,w,t,g,d,a
p,18.04,f,g,e,f,e,w,18.86,19.79,w,t,g,d,w
p,12.27,f,g,o,f,e,w,16.15,17.17,w,t,g,d,w
p,16.03,f,g,o,f,e,w,19.34,19.37,w,t,g,d,u
p,16.51,x,g,o,f,e,w,18.38,18.29,w,t,g,d,w
p,14.96,f,h,o,f,e,w,18.26,18.28,w,t,p,d,w
p,15.9,f,h,e,f,e,w,17.34,17.54,w,t,g,d,w
p,15.48,x,g,e,f,e,w,19.22,18.14,w,t,p,d,u
p,15.63,f,h,o,f,e,w,17.72,16.82,w,t,g,d,a
p,14.8,x,g,o,f,e,w,17.94,17.42,w,t,g,d,w
p,16.0,x,h,o,f,e,w,17.67,17.96,w,t,g,d,w
p,15.07,f,h,o,f,e,w,16.97,17.51,w,t,g,d,u
p,13.12,x,h,e,f,e,w,17.96,17.89,w,t,p,d,a
