Index,Name,Area,Review_Date,Rating_attribute,Rating(Out of 10),Review_Text
0,Hotel The Pearl,"Paharganj, New Delhi",Jul-23,Best budget friendly hotel,9,"Hotel the pearl is perfect place to stay in Delhi Paharganj. whole staff are very helpful, informative. Rooms are clean and comfortable. The hotel's location was very convenient, and we had a truly wonderful stay.. Most recommended.."
1,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Amazing place,9,Location of the hotel is perfect. The hotel is peaceful and nice. The staff is very kind and nice rooms. I recommend this hotel..
2,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Overall good stay. Economic.,9,"Location, Indian food."
3,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Lovely,9,"The location and the hotel itself is great. Next time I will stay here. Nice rooms with comfortable beds. good attitude of staff, they are helpful and explain you everything you ask them."
4,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Great hotel Great staff and great staying,9,"Friendly and smiling staffs.. The reception staff are so excellent and ready to help me any time, location is fantastic near all the attractions, room was big and comfortable.."
5,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Appreciate the behaviour of all the staff,9,"The location was really perfect.. we really enjoyed the hotel. Clean and comfortable rooms, awesome breakfast, great staff. Would totally recommend this hotel.. i really liked the place.."
6,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Awesome hotel with good facility,9,"Nice cosy room. well maintained and clean room, bathroom was cleaned and bad was comfortable. staffs were very friendly and service were excellent. Definitely will come back to stay here.."
7,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,All the services was good,9,"We can say that we had an amazing experience. all the staff members are amazing, friendly, supportive. all good in this hotel. The room was actually awesome and wonderful service by the hotel management.. thanks for this best hospitality.."
8,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,wonderful and well maintained hotel,9,"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great.."
9,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Good on all aspects,8,Nice hotel with comfortable stay.. I would highly recommend it. the service from the staff was excellent and the facilities and breakfast were also great. i would stay here again!
10,Hotel Grand Park Inn,"Karol bagh, New Delhi",Jun-23,"Great room, great sense of service",10,"- I felt safe.
- Staff has been pleasantly and quickly responsive before we came at the hotel as much as during the stay. Great sense of service and you get what's shown/told  (which to be honest has been rarely the case in india from my own experience).
- Good location - near the metro and the karol bagh market without being completely in the congested streets (but the area still gets crowded during busy hours of the day making it difficult to even walk around the area which could be a bit overwhelming).
- Rooms : clean and spacious (we took a triple bed room), quiet. There is a lift for heavy luggage and/or staff is happy to help as well to bring your stuff to the room. - there is a separation between the ""showering space"" and the toilets (hallelujah! So you don't have to walk wet feet in the bathroom - this is a detail but luxury point which is pleasant) :) 
- wifi works well
- food facility is there - food is good"
11,Hotel Grand Park Inn,"Karol bagh, New Delhi",Aug-23,Its good property. Rooms are spacious and clean. Staff are very cooperative,8,It's good stay. Staff are very cooperative.  Good cleaning. Required variety in breakfast.
12,Hotel Grand Park Inn,"Karol bagh, New Delhi",Jun-23,"Stay was nice. We, as seven member family enjoyed it.",8,"Breakfast was good, but we couldn't take it every day as we were out. Food other than bf was also excellent & tasty. The reception & staff are also very helpful and cooperative."
13,Hotel Grand Park Inn,"Karol bagh, New Delhi",May-23,"the staff was helpful, quick and responsive",7,the staff was good and accommodating
14,Hotel Grand Park Inn,"Karol bagh, New Delhi",Jan-23,Very good,8,It was very comfortable
15,Hotel Grand Park Inn,"Karol bagh, New Delhi",Dec-22,Pleasant,6,staff service was good
16,Hotel Grand Park Inn,"Karol bagh, New Delhi",Nov-22,Good,7,The hotel staff is very good.
17,Hotel Grand Park Inn,"Karol bagh, New Delhi",Nov-22,Very good,8,cleanliness
18,Hotel Grand Park Inn,"Karol bagh, New Delhi",Oct-22,Good Experience,8,Good Experience
19,Hotel Grand Park Inn,"Karol bagh, New Delhi",Oct-22,Very good,8,Overall good with good helping staff. Immediately response when need. Hospitality is good towards the visitors.
20,FabHotel White Klove Paharganj,"Paharganj, New Delhi",May-22,Exceptional,10,Zunaid was very helpful with service. He has been helpful on every trip and stay at White Klove. Front dest Azar is also very professional.
21,FabHotel White Klove Paharganj,"Paharganj, New Delhi",Jul-23,Very good,8,It's just need little more cleaning in room
22,FabHotel White Klove Paharganj,"Paharganj, New Delhi",Jul-23,Stay was good And comfortable.,7,Cleanliness and staff behaviour
23,FabHotel White Klove Paharganj,"Paharganj, New Delhi",Jun-23,Fab hotel,8,"Large room, comfortable bed, great room service. Large washroom, great shower"
